Record Date,Country,Currency,Country - Currency Description,Exchange Rate,,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number,ISO_4217
2023-12-31,Egypt,Pound,Egypt-Pound,47.75,0.020942408,2024-03-14,50,2024,1,2023,4,12,31,EGP
2023-12-31,Kenya,Shilling,Kenya-Shilling,134.5,0.007434944,2024-03-14,82,2024,1,2023,4,12,31,KES
2023-12-31,Chile,Peso,Chile-Peso,927.7,0.001077935,2024-02-29,33,2024,1,2023,4,12,31,CLP
2023-12-31,South Sudan,Sudanese Pound,South Sudan-Sudanese Pound,1433,0.000697837,2024-02-29,141,2024,1,2023,4,12,31,SSP
2023-12-31,Nigeria,Naira,Nigeria-Naira,1423,0.000702741,2024-02-15,113,2024,1,2023,4,12,31,NGN
2023-12-31,Sudan,Pound,Sudan-Pound,980,0.001020408,2024-01-31,145,2024,1,2023,4,12,31,SSP
2023-12-31,Zimbabwe,RTGS,Zimbabwe-RTGS,8123.33,0.000123102,2024-01-12,175,2024,1,2023,4,12,31,ZWL
2023-12-31,Afghanistan,Afghani,Afghanistan-Afghani,70.54,0.014176354,2023-12-31,1,2024,1,2023,4,12,31,AFN
2023-12-31,Albania,Lek,Albania-Lek,93.23,0.010726161,2023-12-31,2,2024,1,2023,4,12,31,ALL
2023-12-31,Algeria,Dinar,Algeria-Dinar,134.051,0.007459847,2023-12-31,3,2024,1,2023,4,12,31,DZD
2023-12-31,Angola,Kwanza,Angola-Kwanza,842.5,0.001186944,2023-12-31,4,2024,1,2023,4,12,31,AOA
2023-12-31,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda-E. Caribbean Dollar,2.7,0.37037037,2023-12-31,5,2024,1,2023,4,12,31,XCD
2023-12-31,Argentina,Peso,Argentina-Peso,827.75,0.001208094,2023-12-31,6,2024,1,2023,4,12,31,ARS
2023-12-31,Armenia,Dram,Armenia-Dram,400,0.0025,2023-12-31,7,2024,1,2023,4,12,31,AMD
2023-12-31,Australia,Dollar,Australia-Dollar,1.472,0.679347826,2023-12-31,8,2024,1,2023,4,12,31,AUD
2023-12-31,Azerbaijan,Manat,Azerbaijan-Manat,1.7,0.588235294,2023-12-31,9,2024,1,2023,4,12,31,AZN
2023-12-31,Bahamas,Dollar,Bahamas-Dollar,1,1,2023-12-31,10,2024,1,2023,4,12,31,BSD
